"","about","category","id","likes","name","picture","talking_about_count","username"
"infoDataTemp",NA,"Bar","152413508145227","602","The Calder Accrington","http://profile.ak.fbcdn.net/hprofile-ak-snc4/174868_152413508145227_1243870603_s.jpg","5",NA
"infoDataTemp","Get an amazing party deal at The Calder! 2-4-1 on Corona & WKD, FREE shots & buffets for bookings of 10 or more!! Awesome...click here & we'll be in touch...http://bit.ly/9bqvVs","Bar","62632989396","331","The Calder Brighouse","http://profile.ak.fbcdn.net/hprofile-ak-snc4/27538_62632989396_7168_s.jpg","5",NA
"infoDataTemp",NA,NA,NA,"0",NA,NA,"0",NA
"infoDataTemp",NA,NA,NA,"0",NA,NA,"0",NA
"infoDataTemp","A stylish and welcoming city bar located in the heart of the City of London","Bar","116974802079","290","Cape Bar Woodstreet","http://profile.ak.fbcdn.net/hprofile-ak-snc4/276906_116974802079_760178857_s.jpg","10","CapeBar.Woodstreet"
"infoDataTemp","Cape","Bar","192314220791481","153","Cape Nottingham","http://profile.ak.fbcdn.net/hprofile-ak-ash2/162040_192314220791481_1528791629_s.jpg","10",NA
"infoDataTemp",NA,"Bar","194144697277285","189","Cape Reading","http://profile.ak.fbcdn.net/hprofile-ak-ash2/373528_194144697277285_1728651999_s.jpg","31",NA
"infoDataTemp","Inspired by Cape Town from which its name is derived, Cape is smart, colonial and cosmopolitan, combining modern fixtures and colours with an extensive wine list, contemporary grazing menu and hospitality.","Bar","47278996839","1303","Cape Stockton Heath","http://profile.ak.fbcdn.net/hprofile-ak-ash2/71058_47278996839_7588424_s.jpg","5",NA
"infoDataTemp",NA,"Bar","118929497729","160","The Cape Bar St Katharine Docks","http://profile.ak.fbcdn.net/hprofile-ak-snc4/261109_118929497729_2466570_s.jpg","1","capebar"
"infoDataTemp",NA,"Bar","174141609267304","402","The Capitol Bolton","http://profile.ak.fbcdn.net/hprofile-ak-snc4/41608_174141609267304_1903864124_s.jpg","30","TheCapitolBolton"
"infoDataTemp","Come down and enjoy the friendly atmosphere at The Case Wisbech. All major  sporting events shown. Karaoke. DJ, Music. Food served daily til 9pm.","Bar","101646685842","821","The Case, Wisbech","http://profile.ak.fbcdn.net/hprofile-ak-snc4/276960_101646685842_5603754_s.jpg","5",NA
"infoDataTemp",NA,NA,NA,"0",NA,NA,"0",NA
"infoDataTemp",NA,NA,NA,"0",NA,NA,"0",NA
"infoDataTemp",NA,NA,NA,"0",NA,NA,"0",NA
"infoDataTemp",NA,NA,NA,"0",NA,NA,"0",NA
"infoDataTemp",NA,NA,NA,"0",NA,NA,"0",NA
"infoDataTemp",NA,NA,NA,"0",NA,NA,"0",NA
"infoDataTemp",NA,NA,NA,"0",NA,NA,"0",NA
"infoDataTemp",NA,NA,NA,"0",NA,NA,"0",NA
"infoDataTemp",NA,NA,NA,"0",NA,NA,"0",NA
"infoDataTemp",NA,NA,NA,"0",NA,NA,"0",NA
"infoDataTemp",NA,NA,NA,"0",NA,NA,"0",NA
"infoDataTemp",NA,NA,NA,"0",NA,NA,"0",NA
"infoDataTemp",NA,NA,NA,"0",NA,NA,"0",NA
"infoDataTemp",NA,NA,NA,"0",NA,NA,"0",NA
"infoDataTemp",NA,NA,NA,"0",NA,NA,"0",NA
"infoDataTemp",NA,NA,NA,"0",NA,NA,"0",NA
"infoDataTemp",NA,NA,NA,"0",NA,NA,"0",NA
"infoDataTemp",NA,NA,NA,"0",NA,NA,"0",NA
"infoDataTemp",NA,NA,NA,"0",NA,NA,"0",NA
"infoDataTemp",NA,NA,NA,"0",NA,NA,"0",NA
"infoDataTemp",NA,NA,NA,"0",NA,NA,"0",NA
"infoDataTemp",NA,NA,NA,"0",NA,NA,"0",NA
"infoDataTemp",NA,NA,NA,"0",NA,NA,"0",NA
"infoDataTemp",NA,NA,NA,"0",NA,NA,"0",NA
"infoDataTemp",NA,NA,NA,"0",NA,NA,"0",NA
"infoDataTemp",NA,NA,NA,"0",NA,NA,"0",NA
"infoDataTemp",NA,NA,NA,"0",NA,NA,"0",NA
"infoDataTemp",NA,NA,NA,"0",NA,NA,"0",NA
"infoDataTemp",NA,NA,NA,"0",NA,NA,"0",NA
"infoDataTemp",NA,NA,NA,"0",NA,NA,"0",NA
"infoDataTemp",NA,NA,NA,"0",NA,NA,"0",NA
"infoDataTemp",NA,NA,NA,"0",NA,NA,"0",NA
"infoDataTemp",NA,NA,NA,"0",NA,NA,"0",NA
"infoDataTemp",NA,NA,NA,"0",NA,NA,"0",NA
"infoDataTemp",NA,NA,NA,"0",NA,NA,"0",NA
"infoDataTemp",NA,NA,NA,"0",NA,NA,"0",NA
"infoDataTemp",NA,NA,NA,"0",NA,NA,"0",NA
"infoDataTemp",NA,NA,NA,"0",NA,NA,"0",NA
"infoDataTemp",NA,NA,NA,"0",NA,NA,"0",NA
"infoDataTemp",NA,NA,NA,"0",NA,NA,"0",NA
"infoDataTemp",NA,NA,NA,"0",NA,NA,"0",NA
"infoDataTemp",NA,NA,NA,"0",NA,NA,"0",NA
"infoDataTemp",NA,NA,NA,"0",NA,NA,"0",NA
"infoDataTemp",NA,NA,NA,"0",NA,NA,"0",NA
"infoDataTemp",NA,NA,NA,"0",NA,NA,"0",NA
"infoDataTemp",NA,"Bar","247362308627060","75","Baroosh - Cambridge","http://profile.ak.fbcdn.net/hprofile-ak-snc4/373026_247362308627060_953516163_s.jpg","1","BarooshCambridge"
"infoDataTemp","Baroosh Chelmsford is by far the best bar/restaurant in Chelmsford.  Great any time of the day or night for breakfast or an evening meal - join us.","Bar","147781572640","430","Baroosh - Chelmsford","http://profile.ak.fbcdn.net/hprofile-ak-snc4/50223_147781572640_1371534393_s.jpg","29","BarooshChelmsford"
"infoDataTemp","Baroosh Staines is in the heart of the town centre and opens every morning at 9.00am for Brunch.  We serve food throughout the day. We offer full table service, great food, delicious drinks and a superb atmsophere.","Bar","325753542945","222","Baroosh - Staines","http://profile.ak.fbcdn.net/hprofile-ak-snc4/161926_325753542945_670379280_s.jpg","8","BarooshStaines"
"infoDataTemp","Baroosh is the most stylish bar in Uxbridge.  Operating an over 21s policy we are perfect for any party small or large.  Serving breakfast, lunch & dinner we have something to suit your needs.","Bar","201285193840","145","baroosh-uxbridge","http://profile.ak.fbcdn.net/hprofile-ak-ash2/41800_201285193840_80522211_s.jpg","1","BarooshUxbridge"
"infoDataTemp","Baroosh Hertford is a premium bar which offers great products in a friendly & welcoming atmosphere.  We operate an over 21s policy and are open for breakfast, lunch & dinner.
To join our mailing list go to www.BarooshHertford.co.uk","Bar","182701499101","356","baroosh-hertford","http://profile.ak.fbcdn.net/hprofile-ak-ash2/373038_182701499101_1775084453_s.jpg","3","BarooshHerts"
"infoDataTemp","Cocktails, British and International Food, Patisserie, Fun and more... *21's Policy","Bar","125455917519000","329","Baroosh - Bishop Stortford","http://profile.ak.fbcdn.net/hprofile-ak-snc4/50216_125455917519000_1641349106_s.jpg","54","BarooshStortford"
"infoDataTemp","The Bullfinch is a stylish pub restaurant located in Riverhead, on the outskirts of Sevenoaks. It offers a wide menu to suit all tastes, including a childrens menu, alongside a wide selection of Real Ales & Wine.","Bar","120264921587","198","The Bullfinch - Sevenoaks","http://profile.ak.fbcdn.net/hprofile-ak-snc4/373050_120264921587_1361743862_s.jpg","1","Bullfinch7"
"infoDataTemp","A two bar local pub with a big focus on Sport. Big Screen TV, darts, pool and weekly Games.","Bar","190541884296217","112","The Camp - St Alban's","http://profile.ak.fbcdn.net/hprofile-ak-snc4/373049_190541884296217_2005090801_s.jpg","6","CampAlbans"
"infoDataTemp","The new Chieftain offers great value with our 2 for 1 menu and quality lounge bar dining.We're Welwyn Garden City's friendly local. Now open!","Bar","163176877034245","647","The Chieftain - Welwyn Garden City","http://profile.ak.fbcdn.net/hprofile-ak-snc4/161990_163176877034245_3264105_s.jpg","40","ChieftainWGC"
"infoDataTemp","A Comfortable two bar pub in Harlow with Sky TV, Pool Table and regular quizzes & entertainment!","Bar","171210472920864","69","The Cock Inn - Harlow","http://profile.ak.fbcdn.net/hprofile-ak-ash2/50354_171210472920864_3439033_s.jpg","6","CockInnHarlow"
"infoDataTemp","A warm welcome awaits you from Rosie, steve and all the team at the new look cock o the north! where you can enjoy great food, wines from around the world and traditional real ales in a relaxed and friendly atmosphere.","Bar","104372736264364","236","The Cock O the North - Bell Bar","http://profile.ak.fbcdn.net/hprofile-ak-ash2/23275_104372736264364_6580_s.jpg","3","CockONorthBell"
"infoDataTemp",NA,"Bar","182054988500344","98","The Cricketers - Enfield","http://profile.ak.fbcdn.net/hprofile-ak-snc4/174776_182054988500344_464673_s.jpg","1","CricketersEnfield"
"infoDataTemp","A large, family friendly pub offering an extensive menu available in comfortable, informal surroundings inside and a large garden with childrens' play area and stylish terrace.Free WIFI.Quiz Night every Tuesday!www.mcmullens.co.uk/crocodile","Bar","119639674753998","416","The Crocodile - Cheshunt","http://profile.ak.fbcdn.net/hprofile-ak-ash2/373042_119639674753998_1977056452_s.jpg","16","crocodilecheshunt"
"infoDataTemp","Comfy Traditional Pub, offering a wide range of beers, wines and spirits. We also offer a full menu and Daily Specials.
Darts, Quizzes, Poker and lots more fun!","Bar","146751332038931","72","The Crusader - Roydon","http://profile.ak.fbcdn.net/hprofile-ak-snc4/373050_146751332038931_1059069487_s.jpg","1","CrusaderRoydon"
"infoDataTemp","Great pub in the heart of Windsor. Delicious English Food. McMullen Ales. Scrumpdiddlyumptious Wines.","Bar","165864183478054","174","The Duchess of Cambridge Pub - Windsor","http://profile.ak.fbcdn.net/hprofile-ak-snc4/41805_165864183478054_1483483559_s.jpg","20","TheDuchessPub"
"infoDataTemp","With great views over Aldenham Lake, there is no better a place to enjoy a tasty meal with family or friends. Join Andrew, Steve, Simon & the rest of the team for that special ""Fishery Experience"".","Bar","122479130414","322","The Fishery - Elstree","http://profile.ak.fbcdn.net/hprofile-ak-snc4/41604_122479130414_6418721_s.jpg","4","FisheryElstree"
"infoDataTemp","A fantastic Community Local where everyone is made to feel welcome.A great place to watch the football, in fact the place to watch football and enjoy great entertainment.Free Wi fi","Bar","108023262567489","94","The Golden Griffin - Hertford","http://profile.ak.fbcdn.net/hprofile-ak-snc4/276557_108023262567489_5746011_s.jpg","3","GoldenGriffinHerts"
"infoDataTemp","The Greyhound is a beautiful, friendly pub on the banks of the River Lea Sample a meal from our excellent 241 Menu, along with a pint of McMullens real ale or a nice glass of chilled wine. We even show major sporting events.  Relax and enjoy.","Bar","109487189090382","136","The Greyhound - Enfield Lock","http://profile.ak.fbcdn.net/hprofile-ak-snc4/276885_109487189090382_6165917_s.jpg","2","GreyhoundEnfield"
"infoDataTemp","Fantastic Traditional Pub - Sports bar with Sky TV and pool tables as well as a comfortable Lounge bar where we serve our Great Value 2-4-1 Menu! We also have a cosy snug.","Bar","110096739053221","508","The Hare - Harlow","http://profile.ak.fbcdn.net/hprofile-ak-snc4/174854_110096739053221_7189234_s.jpg","10","HareHarlow"
"infoDataTemp","Open Plan Sports Bar Two Pool Tables5 Screens - Sky Sports - Hall with Large Projector for Weekend Games - Food Served Daily Karaoke, Quiz Night, Discos & Live Bands - Hall also available for Hire","Bar","148826995129533","320","The Harrier - Hatfield","http://profile.ak.fbcdn.net/hprofile-ak-snc4/41575_148826995129533_6703_s.jpg","4","HarrierHatfield"
"infoDataTemp",NA,"Bar","136516116427571","88","The Herald - Harlow","http://profile.ak.fbcdn.net/hprofile-ak-snc4/277034_136516116427571_1498729_s.jpg","2","HeraldHarlow"
"infoDataTemp","A warm welcome awaits you at the Heron on the Lake. Come and join Dee and the team for a freshly prepared meal in our cosy restaurant, or why not just come along for a glass of wine on our extensive lakeside decking.","Bar","120174671343615","346","The Heron on the Lake - Fleet","http://profile.ak.fbcdn.net/hprofile-ak-snc4/174854_120174671343615_8305435_s.jpg","2","HeronLakeFleet"
"infoDataTemp","A great pub for socialising with friends, any time of the week. All major sporting activities are shown, with even an external TV.","Bar","414328371123","207","The Hollybush - Loughton","http://profile.ak.fbcdn.net/hprofile-ak-ash2/23269_414328371123_4502_s.jpg","2","HollybushLoughton"
"infoDataTemp","A traditional friendly community pub aiming to suit all. Set up for all sports events and showing SKY SPORTS.  With regular pub activities and events, including darts and quizes. Our ""241"" food menu offering 2 meals for the price of one is excellent.","Bar","105879539460522","243","The Hopfields - Hatfield","http://profile.ak.fbcdn.net/hprofile-ak-snc4/373032_105879539460522_1726435183_s.jpg","4","HopfieldsHat"
"infoDataTemp","The John Gilpin is a community style public house that benifits from a large car park and patio area.A full range of beers and lagers are available along with a 2.4.1 food offer.","Bar","121580111209151","32","The John Gilpin - Ware","http://profile.ak.fbcdn.net/hprofile-ak-snc4/27523_121580111209151_3716_s.jpg","2","JohnGilpinWare"
"infoDataTemp","The Jolly Butchers a Traditional London PubComfortable, Relaxed and Friendly.Offers our 241 Menu 12 - 9p.m. Mon to Sat.12 - 6p.m. Sunday","Bar","110794392291284","135","The Jolly Butchers - Enfield","http://profile.ak.fbcdn.net/hprofile-ak-snc4/27541_110794392291284_9721_s.jpg","2","JollyButchers"
"infoDataTemp","A Friendly Pub with an extensive Menu available daily. Famous for its real ales. Ample Parking. Function Room available for hire.","Bar","118934634824619","118","The Jolly Farmers - Enfield","http://profile.ak.fbcdn.net/hprofile-ak-snc4/41564_118934634824619_4421_s.jpg","4","JollyEnfield"
"infoDataTemp","The Jolly Fisherman         Country Pub & Dining  Situated next to the River Lee Food Served All Day Every Daywith a great Pint of Hertfordshire's own McMullen Ale's.E-mail us at jollyfisherman.ware@mcmullens.co.ukFree Wi-Fi","Bar","108738982478120","199","The Jolly Fisherman - Ware","http://profile.ak.fbcdn.net/hprofile-ak-ash2/27522_108738982478120_7813_s.jpg","1","JollyFishWare"
"infoDataTemp","Set in the heart of Lemsford, with two bars, offers a 2 for 1 menu on all its main courses.  The Sunday carvery is popular with regulars.  The Quiz night is a great way to spend  a Tuesday evening.  Jose, Mandy and the team are ready to welcome you.","Bar","117226721621921","11","Long & Short Arm - Welwyn","http://profile.ak.fbcdn.net/hprofile-ak-ash2/27523_117226721621921_4717_s.jpg","3",NA
"infoDataTemp",NA,"Bar","258343635245","268","The Lord Kitchener - Barnet","http://profile.ak.fbcdn.net/hprofile-ak-snc4/50556_258343635245_3892798_s.jpg","6","LordKitBarnet"
"infoDataTemp","A Friendly Community Pub with Sky TV & Pub Games","Bar","132381636805635","75","The Maltsters - Cheshunt","http://profile.ak.fbcdn.net/hprofile-ak-snc4/373061_132381636805635_1315847775_s.jpg","2","MaltstersCheshunt"
"infoDataTemp","The Millstream has a large garden area with lovely views. We serve great food all day every day including our great hand carved sunday roast.","Bar","192210044125827","278","The Millstream - Hitchin","http://profile.ak.fbcdn.net/hprofile-ak-snc4/162018_192210044125827_5812052_s.jpg","21","MillsHitchin"
"infoDataTemp","Family Friendly Pub with Great Countryside Views, Extensive Car Park & Good Play Area... Join us on a Sunday for a fun Pub Quiz","Bar","385204274816","1389","The Mops & Brooms - Borehamwood","http://profile.ak.fbcdn.net/hprofile-ak-snc4/187998_385204274816_6773398_s.jpg","16","MopsBrooms"
"infoDataTemp","Welcome. Youkoso. Bienvenido. Bienvenue. Benvenuti. The Nag's Head is a traditional Victorian London pub in the heart of Covent Garden. Good pub food served everyday. Follow us on Twitter: @nagsheadcg","Bar","150290261676591","474","The Nags Head, Covent Garden","http://profile.ak.fbcdn.net/hprofile-ak-snc4/276923_150290261676591_1332334886_s.jpg","87","NagsHeadLondon"
"infoDataTemp","Our stunning newly refurbished pub features a range of McMullen real ales, a selection of wines and a wide variety of soft drinks. We have a fantastic menu with a wide choice of starters, mains and desserts.","Bar","158639844163297","454","The Nag's Head - Bishops Stortford","http://profile.ak.fbcdn.net/hprofile-ak-ash2/41590_158639844163297_1703_s.jpg","10","NagsHeadBS"
"infoDataTemp","Welcome to the North Star. A stylish yet relaxed environment including a beautiful terrace for when the weather is fine, we offer a large and varied menu, daily specials and a fantastic range of drinks.We look forward to seeing you soon!","Bar","127923234405","168","The North Star - Welwyn","http://profile.ak.fbcdn.net/hprofile-ak-snc4/41590_127923234405_6971223_s.jpg","10","NorthStarWelwyn"
"infoDataTemp","Friendly Local Pub 
Two Bars - 8 TV Screens to watch the Sport!
New Menu available
Daily 12 - 2.30pm & Mon - Sat 5pm - 7pm","Bar","141487625883244","51","The Old Anchor - Cheshunt","http://profile.ak.fbcdn.net/hprofile-ak-snc4/277115_141487625883244_220548_s.jpg","4","OldAnchorCheshunt"
"infoDataTemp","When you visit The Old Beams and enjoy the quality, service and atmosphere you know it's 'seriously relaxed dining'....","Bar","104953772878695","669","The Old Beams - Milton Keynes","http://profile.ak.fbcdn.net/hprofile-ak-ash2/373036_104953772878695_259264397_s.jpg","24","OldBeamsMK"
"infoDataTemp","The best country pub in town,   great beer, great food and a very warm welcome,   Log fire to help warm away the winter blues,","Church/religious organization","135226226519775","58","The Old Red Lion - Barnet","http://profile.ak.fbcdn.net/hprofile-ak-snc4/41782_135226226519775_3408_s.jpg","1","OldRedLion"
"infoDataTemp",NA,NA,NA,"0",NA,NA,"0",NA
"infoDataTemp",NA,NA,NA,"0",NA,NA,"0",NA
"infoDataTemp",NA,NA,NA,"0",NA,NA,"0",NA
"infoDataTemp",NA,NA,NA,"0",NA,NA,"0",NA
"infoDataTemp",NA,NA,NA,"0",NA,NA,"0",NA
"infoDataTemp",NA,NA,NA,"0",NA,NA,"0",NA
"infoDataTemp",NA,NA,NA,"0",NA,NA,"0",NA
"infoDataTemp",NA,NA,NA,"0",NA,NA,"0",NA
"infoDataTemp",NA,NA,NA,"0",NA,NA,"0",NA
"infoDataTemp",NA,NA,NA,"0",NA,NA,"0",NA
"infoDataTemp",NA,NA,NA,"0",NA,NA,"0",NA
"infoDataTemp",NA,NA,NA,"0",NA,NA,"0",NA
"infoDataTemp",NA,NA,NA,"0",NA,NA,"0",NA
"infoDataTemp",NA,NA,NA,"0",NA,NA,"0",NA
"infoDataTemp",NA,NA,NA,"0",NA,NA,"0",NA
"infoDataTemp",NA,NA,NA,"0",NA,NA,"0",NA
"infoDataTemp",NA,NA,NA,"0",NA,NA,"0",NA
"infoDataTemp",NA,NA,NA,"0",NA,NA,"0",NA
"infoDataTemp",NA,NA,NA,"0",NA,NA,"0",NA
"infoDataTemp",NA,NA,NA,"0",NA,NA,"0",NA
"infoDataTemp",NA,NA,NA,"0",NA,NA,"0",NA
"infoDataTemp",NA,NA,NA,"0",NA,NA,"0",NA
"infoDataTemp",NA,NA,NA,"0",NA,NA,"0",NA
"infoDataTemp",NA,NA,NA,"0",NA,NA,"0",NA
"infoDataTemp",NA,NA,NA,"0",NA,NA,"0",NA
"infoDataTemp",NA,NA,NA,"0",NA,NA,"0",NA
"infoDataTemp",NA,NA,NA,"0",NA,NA,"0",NA
"infoDataTemp",NA,NA,NA,"0",NA,NA,"0",NA
"infoDataTemp",NA,NA,NA,"0",NA,NA,"0",NA
"infoDataTemp",NA,NA,NA,"0",NA,NA,"0",NA
"infoDataTemp",NA,NA,NA,"0",NA,NA,"0",NA
"infoDataTemp",NA,NA,NA,"0",NA,NA,"0",NA
"infoDataTemp",NA,NA,NA,"0",NA,NA,"0",NA
"infoDataTemp",NA,NA,NA,"0",NA,NA,"0",NA
"infoDataTemp",NA,NA,NA,"0",NA,NA,"0",NA
"infoDataTemp",NA,NA,NA,"0",NA,NA,"0",NA
"infoDataTemp",NA,NA,NA,"0",NA,NA,"0",NA
"infoDataTemp",NA,NA,NA,"0",NA,NA,"0",NA
"infoDataTemp",NA,NA,NA,"0",NA,NA,"0",NA
"infoDataTemp",NA,NA,NA,"0",NA,NA,"0",NA
"infoDataTemp",NA,NA,NA,"0",NA,NA,"0",NA
"infoDataTemp",NA,NA,NA,"0",NA,NA,"0",NA
"infoDataTemp",NA,NA,NA,"0",NA,NA,"0",NA
"infoDataTemp",NA,NA,NA,"0",NA,NA,"0",NA
"infoDataTemp",NA,NA,NA,"0",NA,NA,"0",NA
"infoDataTemp",NA,NA,NA,"0",NA,NA,"0",NA
"infoDataTemp","At The Akenside Traders we have something to suit every occasion. Whether it's a relaxing haven from shopping, a place to meet friends or colleagues from work or you can simply find a quiet corner to grab a drink or a bite to eat.","Bar","241916805827554","43","The Akenside Traders Newcastle","http://profile.ak.fbcdn.net/hprofile-ak-snc4/195739_241916805827554_4070757_s.jpg","1",NA
"infoDataTemp","At The Barley Mow we have something to suit every occasion. Whether it's a relaxing haven from shopping, a place to meet friends or colleagues from work or you can simply find a quiet corner to grab a drink or a bite to eat.","Bar","204970242889126","12","The Barley Mow in Warrington","http://profile.ak.fbcdn.net/hprofile-ak-snc4/276896_204970242889126_5904165_s.jpg","0",NA
"infoDataTemp","Your High St. Local","Bar","198172136884743","289","The Beehive Sheffield","http://profile.ak.fbcdn.net/hprofile-ak-snc4/41606_198172136884743_1292226889_s.jpg","22","TheBeehiveSheffield"
"infoDataTemp","We're all about great food, great service, great drinks, great music and great sports action!","Bar","170201723032004","169","The Bull, Rugby","http://profile.ak.fbcdn.net/hprofile-ak-ash2/373051_170201723032004_318965219_s.jpg","52","liveatthebull"
"infoDataTemp","Great Trad pubs part of Stonegate Pub Company","Bar","159225390768197","77","Crown Corporation Street","http://profile.ak.fbcdn.net/hprofile-ak-snc4/373043_159225390768197_1005918104_s.jpg","3","thecrowncorporationstreet"
